,date,dateTime,open,high,low,close,volume
16583,2023-03-13 06:30:00,1678685400000,22335,22833.3,21208.1,22369.6,15280.002
16584,2023-03-13 06:45:00,1678686300000,22369.6,22397.6,22356.6,22395,9165.324
16585,2023-03-13 07:00:00,1678687200000,22395,22433,22319,22321.9,9569.815
16586,2023-03-13 07:15:00,1678688100000,22321.9,22500,22160,22328,9855.476
16587,2023-03-13 07:30:00,1678689000000,22328,22347.4,22263.8,22347.4,9423.611
16588,2023-03-13 07:45:00,1678689900000,22347.4,23476,21487.3,22372.5,11185.281
16589,2023-03-13 08:00:00,1678690800000,22372.5,22383.9,22319.5,22330.3,8134.47
16590,2023-03-13 08:15:00,1678691700000,22330.3,22425,22330.3,22367.1,9200.356
16591,2023-03-13 08:30:00,1678692600000,22367.1,22451.6,22358,22451.6,9468.235
16592,2023-03-13 08:45:00,1678693500000,22451.6,22488.1,22411.9,22457.4,11427.382
16593,2023-03-13 09:00:00,1678694400000,22457.4,22500,22387,22405.3,9883.111
16594,2023-03-13 09:15:00,1678695300000,22405.3,22433.7,22355.3,22359.1,9755.915
16595,2023-03-13 09:30:00,1678696200000,22359.1,22388.8,22293.7,22301.4,10933.41
16596,2023-03-13 09:45:00,1678697100000,22301.4,22325.3,22180,22194.5,9775.618
16597,2023-03-13 10:00:00,1678698000000,22194.5,22263.7,22162.7,22218,10591.305
16598,2023-03-13 10:15:00,1678698900000,22218,22256.6,22059.8,22059.9,9875.248
16599,2023-03-13 10:30:00,1678699800000,22059.9,22123.3,21856.5,21948.8,6223.499
16600,2023-03-13 10:45:00,1678700700000,21948.8,22042.5,21948.7,21974,10348.762
16601,2023-03-13 11:00:00,1678701600000,21974,22059.5,21962.5,21967,10611.005
16602,2023-03-13 11:15:00,1678702500000,21967,22014.5,21852.5,22005,8156.515
16603,2023-03-13 11:30:00,1678703400000,22005,22099.7,21923.3,22051.2,10188.346
16604,2023-03-13 11:45:00,1678704300000,22051.2,22172.2,21999.9,22122.8,8882.632
16605,2023-03-13 12:00:00,1678705200000,22122.8,22191,22069.7,22091.2,9156.889
16606,2023-03-13 12:15:00,1678706100000,22091.2,22100,22027,22056.6,9657.971
16607,2023-03-13 12:30:00,1678707000000,22056.6,22079,22023,22037.4,9918.065
16608,2023-03-13 12:45:00,1678707900000,22037.4,22157,22035.6,22107.1,9294.525
16609,2023-03-13 13:00:00,1678708800000,22107.1,22245.1,21978,22055.6,9505.077
16610,2023-03-13 13:15:00,1678709700000,22055.6,22135,22014.5,22111.7,10693.359
16611,2023-03-13 13:30:00,1678710600000,22111.7,22153.9,22029,22029,10287.163
16612,2023-03-13 13:45:00,1678711500000,22029,22139.3,21978.5,22126.4,10345.754
16613,2023-03-13 14:00:00,1678712400000,22126.4,22363.3,22122.8,22330.4,7415.867
16614,2023-03-13 14:15:00,1678713300000,22330.4,22542.3,22327,22434.8,7158.586
16615,2023-03-13 14:30:00,1678714200000,22434.8,22490.1,21800,22345.8,7306.013
16616,2023-03-13 14:45:00,1678715100000,22345.8,22656.6,22338.7,22473.2,7333.706
16617,2023-03-13 15:00:00,1678716000000,22473.2,23300,22414,22921.5,9795.988
16618,2023-03-13 15:15:00,1678716900000,22921.5,24200,21715,23357.5,6049.861
16619,2023-03-13 15:30:00,1678717800000,23357.5,23662.5,23280.7,23427,6629.446
16620,2023-03-13 15:45:00,1678718700000,23427,23520.3,23337,23478.7,6807.687
16621,2023-03-13 16:00:00,1678719600000,23478.7,24530,23471.5,24054.4,4685.569
16622,2023-03-13 16:15:00,1678720500000,24054.4,24386.6,24053,24386.6,8172.887
